,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_l2_regularization,params_learning_rate,params_momentum,params_num_epoch,params_rmsprop_alpha,state,acc,recall,f1,bacc,search_space_id
0,0,0.644862536091733,2024-08-30 16:22:00.138508,2024-08-30 16:23:39.977198,0 days 00:01:39.838690,1024,7.175964216740782e-05,0.0008936763788557677,0.9,30,0.3,COMPLETE,,,,,3
1,1,0.6365152669769225,2024-08-30 16:23:40.020501,2024-08-30 16:26:24.774249,0 days 00:02:44.753748,2048,4.265004089453931e-05,0.0004924490173493698,0.75,50,0.8,COMPLETE,,,,,3
2,2,0.6581063564403892,2024-08-30 16:27:38.153160,2024-08-30 16:31:39.136263,0 days 00:04:00.983103,256,3.31243479017209e-05,0.0003269228583924228,0.4,50,0.8,COMPLETE,0.6537925021795989,0.7373572593800979,0.651155169381292,0.6524827561400622,3
